title,addr,areacode,sigungucode,contentid,mapx,mapy,is_outdoor,tag
가거도(소흑산도),전남 신안군 흑산면 가거도길 38-2,38,12,127480,125.1125145,34.07401665,1,9
가계해수욕장,전남 진도군 고군면 신비의바닷길 47,38,21,126273,126.3547412,34.43545949,1,9
가고파 꼬부랑길 벽화마을,경남 창원시 마산합포구 성호서7길 15-8,36,16,2019720,128.5696553,35.2077664,1,10
가곡유황온천&스파,강원 삼척시 가곡면 탕곡리,32,4,2994116,129.2062296,37.15074949,0,7
가금철교 문화공원,경기 의정부시 가능동,31,25,3482667,127.0455151,37.75335316,1,12
가나아트파크,경기 양주시 장흥면 권율로 117,31,18,129194,126.9497497,37.72545191,1,12
가남체육공원,경기 여주시 가남읍 대명산길 98,31,20,2777865,127.5349142,37.20170935,1,12
가덕도,부산 강서구 천성동 308-2,6,1,2715601,128.8169442,35.02296383,1,9
가덕도 등대,부산 강서구 외양포로 10,6,1,129156,128.8295937,35.00064712,1,9
가덕도 연대봉,부산 강서구 천성동,6,1,2726843,128.8216714,35.03175182,1,9
가덕도대항인공동굴,부산 강서구 대항동 393-9,6,1,2789460,128.8274686,35.01330955,0,9
가덕도외양포전망대,부산 강서구 대항동,6,1,3015365,128.8310519,35.00178313,0,1
가덕산,경기 가평군 북면,31,1,125462,127.5683098,37.92023219,1,9
가라산,경남 거제시 남부면 다대리,36,1,127257,128.6303347,34.74105029,1,9
가람리조트,강원 홍천군 두촌면 부채들길 29,32,16,2761729,128.018463,37.83643091,1,0
가력도항,전북 부안군 변산면 새만금로 447-27,37,6,2743285,126.5314023,35.7269248,1,9
가령폭포,강원 홍천군 내촌면 와야리,32,16,125658,128.1595225,37.83265346,1,9
가루매마을,경기 양평군 지평면 옥현리,31,19,1553085,127.6145193,37.45195131,1,10
가리산(포천),경기 포천시 이동면 도평리,31,29,125463,127.408018,38.04505634,1,9
가리산(홍천),강원 홍천군 두촌면 가리산길 260-9,32,16,125593,127.9988087,37.8543979,1,9
가리산자연휴양림,강원 홍천군 두촌면 가리산길 426,32,16,126905,127.9795073,37.86561567,1,9
가리왕산,강원 정선군 정선읍 가리왕산로 707,32,11,127508,128.5634778,37.4618263,1,9
가리왕산케이블카,강원 정선군 북평면 중봉길 41-35,32,11,3068424,128.6097538,37.47425353,1,10
가림상회,충남 부여군 임천면 성흥로97번길 4-5,34,6,2820640,126.8928691,36.18990036,1,10
가마골계곡,전남 담양군 용면 용소길 261,38,7,127423,127.0227047,35.44518737,1,9
가마미해수욕장,전남 영광군 홍농읍 가마미로 355,38,16,126289,126.409077,35.39972939,1,9
가마소계곡,전북 부안군 상서면 청림리,37,6,1625067,126.597968,35.64124956,1,9
가마오름,제주 제주시 한경면 청수서5길 63,39,4,1884191,126.250704,33.3059197,1,9
가막들공원,경기 의왕시 양지편로 41-2,31,24,2745573,126.9956966,37.39169152,1,12
가메창(암메),제주 제주시 한경면 청수로 13-3,39,4,1884202,126.2460707,33.32092353,1,9
가뫼골마을,경남 진주시 명석면 관덕길 174,36,13,128498,128.0324121,35.25865659,1,10
가문이오름(감은이오름),제주 서귀포시 표선면 남조로 1487-73,39,3,1884505,126.6758205,33.40190471,1,9
가배량성,경남 거제시 동부면 가배리,36,1,127268,128.5722053,34.78175859,1,6
가사도,전남 진도군 조도면 가사도길 106,38,21,578400,126.0510003,34.47893028,1,9
가사도 등대,전남 진도군 조도면 가사도돌목길,38,21,129141,126.0429126,34.4611877,1,9
가사동백숲해변,전남 완도군 약산면 해동리,38,18,2615324,126.9277953,34.36983735,1,9
가사해수욕장,전남 완도군 약산면,38,18,1916695,126.9281702,34.37048728,1,9
가산사,충북 옥천군 안내면 안내회남로 671,33,5,294369,127.5973921,36.40158856,1,6
가산산성마을,경북 칠곡군 가산면 가산로 891,35,22,2629074,128.597813,36.05010795,1,10
가산서원,전남 장성군 삼서면 영장로 2015,38,19,1957336,126.6931004,35.23132266,1,6
가산수변공원,경남 양산시 동면 가산리 799,36,10,2784347,129.0178749,35.29506481,1,12
가산수피아,경북 칠곡군 가산면 학하들안2길 105,35,22,2633896,128.4850692,36.08615455,1,9
가새기오름,제주 제주시 오라삼동,39,4,1884521,126.5038612,33.48937008,1,9
가선정,경남 거창군 북상면 송계로 731-42,36,2,1578561,127.816034,35.77887729,1,6
가섭사,충북 음성군 음성읍 가섭길 494,33,6,294390,127.7030557,36.96663397,1,6
가섭암지 마애여래삼존입상,경남 거창군 위천면 상천리,36,2,1579499,127.7941371,35.73454859,1,6
가세오름,제주 서귀포시 표선면 녹산로 554,39,3,1885746,126.7231832,33.39317588,1,9
가시리국산화풍력발전단지,제주 서귀포시 표선면 녹산로 464-78,39,3,3026711,126.73411,33.39393708,0,0
가시오름,제주 서귀포시 대정읍 하모이삼로21번길 1,39,3,1885754,126.250017,33.22363156,1,9
가실벚꽃길,경기 용인시 처인구 포곡읍 가실리,31,23,3023389,127.1923454,37.29331478,1,10
가실성당,경북 칠곡군 왜관읍 가실1길 1,35,22,2513971,128.4049221,35.93681725,1,6
가야공원,부산 부산진구 엄광로 118,6,7,2788410,129.0276892,35.14834533,1,9
가야금산조테마공원,전남 영암군 영암읍 기찬랜드로 19-10,38,17,2732489,126.6856119,34.79196932,1,12
가야금신조기념관,전남 영암군 영암읍 기찬랜드로 19-10,38,17,3459087,126.6856119,34.79196932,1,10
가야랜드,경남 김해시 인제로 368 (삼방동),36,4,2714140,128.8993306,35.26070259,1,12
가야산 돌할매 신비의돌,경북 성주군 수륜면 성주가야산로 278,35,10,3030551,128.1448182,35.80266105,0,1
가야산 소리길,경남 합천군 가야면 가야산로 1200,36,21,2414679,128.1322258,35.7675648,1,9
가야산 야생화식물원,경북 성주군 수륜면 가야산식물원길 49,35,10,129212,128.1418573,35.80312761,1,9
